UNIX time;Local time;humidity min;humidity avg;humidity max;pressure min;pressure avg;pressure max;temperature min;temperature avg;temperature max
1753198500;2025-07-22T18:35:00.000;63.076;63.303;63.488;995.925;995.948;995.97;27.785;27.798;27.818
1753198560;2025-07-22T18:36:00.000;63.396;63.453;63.511;995.908;995.938;995.963;27.764;27.774;27.785
1753198620;2025-07-22T18:37:00.000;63.458;63.509;63.602;995.915;995.94;995.97;27.743;27.758;27.764
1753198680;2025-07-22T18:38:00.000;63.335;63.422;63.511;995.925;995.953;995.98;27.753;27.758;27.764
1753198740;2025-07-22T18:39:00.000;63.305;63.338;63.366;995.928;995.952;995.978;27.753;27.759;27.764
1753198800;2025-07-22T18:40:00.000;63.244;63.281;63.335;995.925;995.947;995.98;27.743;27.749;27.764
1753198860;2025-07-22T18:41:00.000;63.16;63.222;63.244;995.928;995.951;995.988;27.721;27.733;27.743
1753198920;2025-07-22T18:42:00.000;63.16;63.223;63.244;995.928;995.957;995.988;27.7;27.713;27.721
1753198980;2025-07-22T18:43:00.000;63.16;63.259;63.335;995.943;995.976;996;27.678;27.688;27.7
1753199040;2025-07-22T18:44:00.000;63.068;63.138;63.221;995.963;995.984;996.01;27.646;27.665;27.678
1753199100;2025-07-22T18:45:00.000;63.221;63.253;63.305;995.96;995.986;996.013;27.635;27.644;27.657
1753199160;2025-07-22T18:46:00.000;63.305;63.313;63.366;995.973;995.996;996.033;27.614;27.622;27.635
1753199220;2025-07-22T18:47:00.000;63.335;63.375;63.396;995.963;995.991;996.02;27.603;27.613;27.614
1753199280;2025-07-22T18:48:00.000;63.183;63.266;63.335;995.96;995.986;996.015;27.603;27.604;27.614
1753199340;2025-07-22T18:49:00.000;63.007;63.103;63.244;995.953;995.973;995.993;27.592;27.6;27.603
1753199400;2025-07-22T18:50:00.000;62.916;63.017;63.183;995.945;995.964;995.995;27.56;27.576;27.592
1753199460;2025-07-22T18:51:00.000;63.183;63.307;63.541;995.933;995.961;995.985;27.55;27.558;27.571
1753199520;2025-07-22T18:52:00.000;63.328;63.388;63.48;995.928;995.948;995.975;27.55;27.55;27.56
1753199580;2025-07-22T18:53:00.000;63.213;63.316;63.419;995.93;995.947;995.973;27.539;27.548;27.55
1753199640;2025-07-22T18:54:00.000;63.244;63.324;63.358;995.92;995.952;995.983;27.539;27.539;27.539
1753199700;2025-07-22T18:55:00.000;66.303;66.371;66.723;996.303;996.329;996.36;25.608;25.638;25.662
1753199760;2025-07-22T18:56:00.000;66.303;66.466;67.188;996.3;996.322;996.345;25.673;25.699;25.726
1753199820;2025-07-22T18:57:00.000;67.188;67.357;67.448;996.31;996.327;996.345;25.726;25.741;25.748
1753199880;2025-07-22T18:58:00.000;67.005;67.323;67.585;996.315;996.355;996.383;25.748;25.796;25.833
1753199940;2025-07-22T18:59:00.000;67.554;67.821;68.012;996.353;996.387;996.42;25.833;25.873;25.909
1753200000;2025-07-22T19:00:00.000;67.371;67.664;67.951;996.398;996.42;996.46;25.909;25.929;25.962
1753208580;2025-07-22T21:23:00.000;67.478;67.733;67.867;996.418;996.447;996.47;25.951;25.978;26.005
1753208640;2025-07-22T21:24:00.000;67.15;67.255;67.478;996.423;996.452;996.485;26.005;26.03;26.059
1753208700;2025-07-22T21:25:00.000;67.097;67.294;67.463;996.435;996.469;996.495;26.059;26.09;26.123
1753208760;2025-07-22T21:26:00.000;67.234;67.422;67.547;996.465;996.489;996.51;26.112;26.137;26.155
1753208820;2025-07-22T21:27:00.000;67.013;67.335;67.57;996.488;996.507;996.538;26.155;26.162;26.177
1753208880;2025-07-22T21:28:00.000;66.959;67.311;67.623;996.5;996.528;996.558;26.177;26.187;26.198
1753208940;2025-07-22T21:29:00.000;66.959;67.081;67.181;996.513;996.544;996.565;26.198;26.222;26.241
1753209000;2025-07-22T21:30:00.000;67.074;67.22;67.387;996.543;996.566;996.593;26.241;26.259;26.284
1753209060;2025-07-22T21:31:00.000;67.051;67.21;67.356;996.538;996.573;996.595;26.273;26.295;26.305
1753209120;2025-07-22T21:32:00.000;66.914;67.176;67.44;996.548;996.579;996.608;26.305;26.313;26.327
1753209180;2025-07-22T21:33:00.000;66.914;67.19;67.44;996.558;996.589;996.61;26.316;26.334;26.348
1753209240;2025-07-22T21:34:00.000;67.158;67.338;67.493;996.56;996.601;996.625;26.348;26.375;26.402
1753209300;2025-07-22T21:35:00.000;66.837;66.954;67.158;996.575;996.61;996.638;26.402;26.423;26.445
1753209360;2025-07-22T21:36:00.000;65.792;66.356;66.921;996.585;996.609;996.64;26.445;26.47;26.488
1753209420;2025-07-22T21:37:00.000;66.029;66.216;66.334;996.578;996.602;996.628;26.488;26.517;26.541
1753209480;2025-07-22T21:38:00.000;65.907;66.049;66.25;996.57;996.594;996.628;26.541;26.567;26.595
1753209540;2025-07-22T21:39:00.000;65.38;65.817;65.998;996.55;996.578;996.608;26.595;26.605;26.627
1753209600;2025-07-22T21:40:00.000;65.319;65.485;65.678;996.548;996.579;996.608;26.616;26.64;26.659
1753209660;2025-07-22T21:41:00.000;65.266;65.495;65.617;996.543;996.575;996.605;26.659;26.684;26.702
